Instance,Algorithm,Run,FinalFitness,OptimalFitness,GapToOptimal(%),GapToOptimal_Alt(%),%OptimumAchieved,TimeMs,Evaluations,Steps
bur26b,S-2swap,12,3827657,3817852,0.25681980338682586,0.25616192882486594,99.74383807117513,33.427,66321,194
bur26b,S-2swap,13,3826418,3817852,0.22436700008276905,0.2238647215228446,99.77613527847716,30.4091,63071,184
bur26b,S-2swap,14,3824483,3817852,0.17368405061275294,0.17338291214786417,99.82661708785213,31.7162,65996,193
bur26b,S-2swap,15,3825741,3817852,0.20663451595294946,0.20620841818617622,99.79379158181384,32.4838,67296,197
bur26b,S-2swap,16,3825859,3817852,0.20972525912476442,0.20928633282094297,99.79071366717905,33.2958,68596,201
bur26b,S-2swap,17,3817852,3817852,0.0,0.0,100.0,28.5773,59496,173
bur26b,S-2swap,18,3826458,3817852,0.22541470963253685,0.22490773451583684,99.77509226548416,35.2857,72821,214
bur26b,S-2swap,19,3825698,3817852,0.2055082281869491,0.20508675802428733,99.7949132419757,32.5256,65996,193
bur26b,S-2swap,20,3825110,3817852,0.1901068978053628,0.18974617723411877,99.81025382276589,31.0949,65346,191
bur26e,RS,1,5559310,5386879,3.200944368715169,3.1016618968900818,96.89833810310992,8.5244,20961,9
bur26e,RS,2,5571357,5386879,3.4245803553411913,3.311186125749974,96.68881387425003,3.3065,8055,9
bur26e,RS,3,5553240,5386879,3.0882631668541283,2.9957466271942144,97.00425337280578,13.5851,33478,8
bur26e,RS,4,5550715,5386879,3.041390014514898,2.9516197462849383,97.04838025371507,32.5681,79137,13
bur26e,RS,5,5540562,5386879,2.852913533049471,2.77377998838385,97.22622001161615,25.8193,60066,18
bur26e,RS,6,5512646,5386879,2.3346913862368175,2.281427104152888,97.71857289584712,12.7775,30453,16
bur26e,RS,7,5555457,5386879,3.1294187227892065,3.034457831281927,96.96554216871807,4.9811,11728,7
bur26e,RS,8,5539140,5386879,2.8265160587419915,2.7488202139682336,97.25117978603177,13.8068,30417,8
bur26e,RS,9,5501745,5386879,2.1323293135041643,2.087810321997839,97.91218967800216,22.2848,54156,15
bur26e,RS,10,5525193,5386879,2.5676091852072416,2.5033333677212726,97.49666663227873,24.7933,58855,12
bur26e,RS,11,5576145,5386879,3.5134629903511847,3.394208723051499,96.60579127694851,4.8646,12110,8
bur26e,RS,12,5576893,5386879,3.52734858161841,3.4071659614053917,96.59283403859462,8.6365,19003,15
bur26e,RS,13,5541880,5386879,2.8773803903893147,2.796902856070503,97.2030971439295,14.2607,33955,9
bur26e,RS,14,5509886,5386879,2.2834557820957184,2.232478131126488,97.7675218688735,19.6849,47135,12
bur26e,RS,15,5563159,5386879,3.2723957601423757,3.1687032493588627,96.83129675064114,9.9506,24070,9
bur26e,RS,16,5570733,5386879,3.4129966535353775,3.3003556264498766,96.69964437355011,6.4405,14638,11
bur26e,RS,17,5599978,5386879,3.955889857559451,3.8053542353202103,96.19464576467979,2.6468,4094,7
bur26e,RS,18,5559071,5386879,3.1965076624145445,3.0974959665023167,96.90250403349768,7.3988,16625,6
bur26e,RS,19,5557641,5386879,3.169961679109555,3.0725626214431627,96.92743737855683,16.3597,39768,14
bur26e,RS,20,5535204,5386879,2.753449631966859,2.679666368213349,97.32033363178665,10.9863,24731,10
bur26e,RW,1,5387239,5386879,0.006682904887969453,0.00668245830563671,99.99331754169435,26.2941,76363,56
bur26e,RW,2,5399611,5386879,0.23635206953785298,0.235794763733906,99.7642052362661,16.2183,48200,50
bur26e,RW,3,5398702,5386879,0.21947773469573012,0.218997084854841,99.78100291514515,8.3135,21525,74
bur26e,RW,4,5405975,5386879,0.3544909770574019,0.3532387774638247,99.64676122253617,17.4486,54328,70
bur26e,RW,5,5411648,5386879,0.45980241991698717,0.4576979138332722,99.54230208616673,1.5435,4232,53
bur26e,RW,6,5406978,5386879,0.37311029262027234,0.3717233545244682,99.62827664547554,22.5203,71466,57
bur26e,RW,7,5418832,5386879,0.5931634996813553,0.5896658172831342,99.41033418271687,11.4244,34089,62
bur26e,RW,8,5419503,5386879,0.6056196918475429,0.6019740186507877,99.3980259813492,2.9103,9483,54
bur26e,RW,9,5399467,5386879,0.23367890758266519,0.23313412231244307,99.76686587768756,27.5473,84574,72
bur26e,RW,10,5409248,5386879,0.4152497206638575,0.41353252799649787,99.5864674720035,31.6285,103323,57
bur26e,RW,11,5388824,5386879,0.03610625001972385,0.03609321811215211,99.96390678188784,26.0756,83925,79
bur26e,RW,12,5404475,5386879,0.3266455400241958,0.3255820408087742,99.67441795919123,2.9502,6909,50
bur26e,RW,13,5399239,5386879,0.22944640115361792,0.22892114981389045,99.77107885018611,15.0303,49263,49
bur26e,RW,14,5395811,5386879,0.16581029572039765,0.16553582028725616,99.83446417971274,12.6163,39746,63
bur26e,RW,15,5389474,5386879,0.04817260606744648,0.048149411241245436,99.95185058875875,28.4037,89877,51
bur26e,RW,16,5415300,5386879,0.5275967772804996,0.5248278027071446,99.47517219729286,15.73,50065,62
bur26e,RW,17,5388688,5386879,0.033581597062046505,0.033570323611238954,99.96642967638876,8.4511,23005,75
bur26e,RW,18,5392009,5386879,0.0952313946535647,0.09514079075164748,99.90485920924836,13.4553,43743,38
bur26e,RW,19,5464644,5386879,1.443600273924846,1.4230570189018716,98.57694298109813,2.8106,6025,58
bur26e,RW,20,5399882,5386879,0.24138281182851887,0.24080155825627303,99.75919844174372,23.7748,72726,78
bur26e,H,1,6299222,5386879,16.936393039457542,14.483423508490414,85.51657649150958,0.3145,38027,0
bur26e,H,2,6014625,5386879,11.65324114389798,10.43699316249974,89.56300683750025,0.1556,38027,0
bur26e,H,3,5901769,5386879,9.55822471601831,8.724333331243564,91.27566666875644,0.325,38027,0
bur26e,H,4,6233565,5386879,15.717561133264734,13.582693049643343,86.41730695035665,0.1439,38027,0
bur26e,H,5,5890820,5386879,9.354971589300595,8.554683388730263,91.44531661126973,0.1464,38027,0
bur26e,H,6,5905230,5386879,9.622473421066262,8.77782914467345,91.22217085532654,0.1436,38027,0
bur26e,H,7,6443362,5386879,19.612153902101756,16.396455763311142,83.60354423668885,0.3379,38027,0
bur26e,H,8,6161743,5386879,14.38428448086545,12.575402771585898,87.4245972284141,0.1978,38027,0
bur26e,H,9,6875177,5386879,27.628205497097667,21.64741358658839,78.3525864134116,0.2856,38027,0
bur26e,H,10,5890820,5386879,9.354971589300595,8.554683388730263,91.44531661126973,0.1454,38027,0
bur26e,H,11,6014625,5386879,11.65324114389798,10.43699316249974,89.56300683750025,0.1715,38027,0
bur26e,H,12,5905230,5386879,9.622473421066262,8.77782914467345,91.22217085532654,0.1477,38027,0
bur26e,H,13,6161743,5386879,14.38428448086545,12.575402771585898,87.4245972284141,0.3248,38027,0
bur26e,H,14,5901769,5386879,9.55822471601831,8.724333331243564,91.27566666875644,0.1523,38027,0
bur26e,H,15,6443362,5386879,19.612153902101756,16.396455763311142,83.60354423668885,0.1479,38027,0
bur26e,H,16,6420700,5386879,19.19146503940408,16.101375239459873,83.89862476054013,0.1452,38027,0
bur26e,H,17,5905230,5386879,9.622473421066262,8.77782914467345,91.22217085532654,0.3282,38027,0
bur26e,H,18,5901769,5386879,9.55822471601831,8.724333331243564,91.27566666875644,0.1599,38027,0
bur26e,H,19,6725536,5386879,24.850326135040348,19.904093889319753,80.09590611068025,0.1444,38027,0
