Instance,Algorithm,Run,InitialFitness,InitialSolution,FinalFitness,FinalSolution,TimeMs,Evaluations,Steps
bur26a.dat,G-2swap,27,5849976,"[3, 23, 11, 1, 7, 20, 21, 18, 17, 8, 12, 24, 0, 25, 22, 4, 9, 10, 14, 5, 2, 19, 13, 6, 16, 15]",5680653,"[11, 24, 23, 5, 19, 0, 6, 8, 1, 14, 4, 12, 7, 25, 10, 17, 22, 13, 20, 2, 3, 15, 21, 9, 16, 18]",0.0735,44,10
bur26a.dat,G-2swap,28,5976279,"[5, 25, 22, 15, 10, 2, 9, 8, 12, 13, 14, 6, 21, 20, 3, 24, 7, 19, 16, 1, 11, 23, 17, 18, 4, 0]",5721478,"[3, 9, 17, 12, 13, 24, 1, 14, 19, 4, 21, 0, 2, 5, 16, 7, 15, 8, 20, 10, 11, 18, 22, 6, 25, 23]",0.0739,45,10
bur26a.dat,G-2swap,29,5736217,"[17, 5, 3, 19, 12, 0, 24, 11, 2, 21, 15, 25, 13, 16, 6, 14, 4, 1, 8, 23, 20, 22, 7, 9, 10, 18]",5689315,"[17, 5, 3, 19, 12, 0, 24, 20, 2, 21, 15, 25, 13, 16, 6, 14, 4, 1, 8, 23, 11, 22, 7, 9, 10, 18]",0.0589,45,10
bur26a.dat,G-2swap,30,5792050,"[21, 10, 25, 8, 14, 11, 15, 6, 0, 3, 23, 12, 18, 2, 20, 9, 19, 17, 13, 22, 4, 5, 16, 24, 7, 1]",5707166,"[13, 19, 15, 11, 7, 5, 16, 20, 1, 17, 21, 23, 0, 18, 14, 22, 2, 4, 8, 25, 9, 10, 3, 6, 12, 24]",0.06,50,10
bur26a.dat,G-2swap,31,5673809,"[8, 16, 11, 9, 23, 25, 0, 18, 5, 17, 14, 19, 22, 4, 2, 13, 3, 7, 10, 20, 1, 6, 21, 15, 24, 12]",5670386,"[8, 16, 11, 9, 23, 25, 0, 18, 5, 17, 14, 19, 22, 4, 2, 13, 1, 7, 10, 20, 3, 6, 21, 15, 24, 12]",0.0537,41,10
bur26a.dat,G-2swap,32,5810635,"[15, 20, 14, 11, 22, 18, 0, 5, 21, 4, 1, 17, 12, 19, 10, 8, 13, 2, 6, 7, 25, 24, 9, 23, 3, 16]",5693193,"[13, 24, 9, 20, 7, 0, 10, 8, 2, 14, 17, 22, 11, 12, 21, 19, 4, 5, 18, 1, 6, 3, 16, 15, 25, 23]",0.0578,47,10
bur26a.dat,G-2swap,33,5837357,"[25, 7, 18, 16, 4, 15, 1, 3, 9, 14, 6, 5, 11, 23, 0, 13, 10, 12, 8, 21, 22, 2, 20, 24, 19, 17]",5764393,"[16, 22, 3, 1, 11, 17, 0, 19, 15, 18, 8, 2, 5, 9, 12, 14, 25, 13, 4, 24, 6, 23, 21, 10, 7, 20]",0.0568,42,10
bur26a.dat,G-2swap,34,5876188,"[22, 19, 15, 7, 20, 10, 5, 4, 23, 0, 18, 8, 3, 9, 24, 14, 21, 17, 1, 11, 12, 16, 25, 6, 2, 13]",5748312,"[6, 24, 2, 5, 3, 9, 1, 4, 16, 7, 14, 17, 10, 23, 21, 12, 13, 0, 11, 15, 19, 25, 8, 20, 18, 22]",0.0566,42,10
bur26a.dat,G-2swap,35,5914844,"[23, 3, 7, 13, 8, 22, 10, 12, 25, 6, 4, 20, 2, 14, 19, 1, 5, 24, 0, 16, 21, 15, 17, 9, 18, 11]",5651938,"[11, 12, 22, 1, 21, 10, 20, 14, 7, 0, 9, 18, 8, 19, 2, 4, 23, 13, 16, 24, 6, 15, 17, 3, 5, 25]",0.0596,47,10
bur26a.dat,G-2swap,36,5863830,"[0, 23, 18, 10, 3, 24, 5, 22, 12, 6, 20, 4, 2, 13, 25, 19, 8, 15, 1, 17, 9, 11, 16, 7, 21, 14]",5695789,"[11, 1, 8, 5, 23, 22, 24, 21, 2, 3, 13, 20, 14, 4, 0, 15, 17, 10, 12, 9, 19, 16, 7, 25, 6, 18]",0.0782,44,10
bur26a.dat,G-2swap,37,5884697,"[10, 21, 11, 19, 13, 24, 6, 7, 4, 22, 17, 16, 9, 5, 20, 2, 18, 14, 12, 15, 3, 23, 25, 1, 0, 8]",5702820,"[0, 19, 18, 22, 20, 2, 16, 24, 3, 5, 14, 17, 23, 7, 9, 12, 1, 4, 13, 25, 15, 6, 21, 8, 10, 11]",0.0562,42,10
bur26a.dat,G-2swap,38,6119517,"[11, 9, 5, 20, 3, 19, 4, 13, 17, 1, 24, 15, 16, 6, 23, 18, 10, 25, 0, 22, 7, 12, 14, 21, 2, 8]",5685104,"[15, 18, 1, 3, 14, 16, 2, 24, 9, 5, 11, 17, 10, 7, 22, 0, 4, 6, 13, 8, 21, 12, 20, 23, 19, 25]",0.1766,39,10
bur26a.dat,G-2swap,39,5864140,"[5, 24, 11, 14, 19, 15, 18, 21, 0, 1, 6, 23, 2, 20, 13, 16, 9, 3, 4, 17, 10, 25, 8, 7, 22, 12]",5663964,"[24, 18, 15, 9, 16, 0, 2, 5, 20, 6, 4, 13, 3, 19, 14, 17, 23, 22, 1, 10, 12, 21, 7, 11, 25, 8]",0.0589,48,10
bur26a.dat,G-2swap,40,5989487,"[16, 1, 0, 15, 3, 17, 10, 8, 18, 2, 22, 5, 12, 25, 14, 9, 21, 19, 4, 20, 11, 6, 24, 13, 7, 23]",5749485,"[7, 9, 1, 14, 5, 10, 12, 15, 24, 18, 16, 13, 4, 2, 22, 20, 17, 8, 11, 25, 3, 23, 21, 0, 19, 6]",0.0574,41,10
bur26a.dat,G-2swap,41,5665318,"[6, 1, 11, 24, 16, 17, 15, 23, 19, 2, 8, 0, 4, 10, 18, 20, 12, 9, 3, 14, 21, 22, 25, 7, 13, 5]",5664750,"[6, 1, 11, 23, 16, 17, 15, 24, 19, 2, 8, 0, 4, 10, 18, 20, 12, 9, 3, 14, 21, 22, 25, 7, 13, 5]",0.0623,49,10
bur26a.dat,G-2swap,42,5794330,"[18, 19, 1, 22, 6, 0, 2, 12, 10, 21, 13, 20, 16, 7, 24, 23, 8, 14, 15, 25, 11, 9, 5, 17, 3, 4]",5642398,"[0, 13, 24, 3, 7, 10, 18, 15, 1, 14, 6, 17, 8, 19, 11, 5, 20, 2, 4, 9, 23, 25, 16, 22, 12, 21]",0.0578,43,10
bur26a.dat,G-2swap,43,5788224,"[10, 13, 25, 3, 24, 23, 5, 14, 12, 11, 16, 20, 8, 2, 6, 19, 4, 15, 7, 17, 9, 21, 1, 0, 18, 22]",5774305,"[13, 0, 24, 3, 19, 9, 2, 17, 14, 4, 21, 10, 18, 7, 12, 25, 23, 20, 8, 11, 6, 1, 5, 15, 22, 16]",0.0526,38,10
bur26a.dat,G-2swap,44,5883384,"[6, 9, 11, 15, 10, 23, 25, 17, 21, 19, 22, 2, 16, 5, 0, 20, 4, 8, 24, 7, 3, 13, 1, 12, 18, 14]",5714645,"[11, 9, 24, 18, 19, 23, 3, 13, 16, 20, 2, 0, 4, 25, 10, 8, 5, 22, 17, 14, 6, 21, 12, 15, 7, 1]",0.0546,39,10
bur26a.dat,G-2swap,45,5725865,"[13, 12, 15, 2, 16, 3, 23, 24, 7, 10, 19, 22, 14, 6, 17, 21, 5, 4, 20, 9, 18, 8, 11, 25, 1, 0]",5646099,"[0, 8, 21, 14, 24, 12, 10, 13, 6, 11, 4, 3, 5, 17, 22, 20, 19, 23, 18, 9, 25, 15, 16, 7, 1, 2]",0.0721,52,10
bur26a.dat,G-2swap,46,5837684,"[25, 24, 11, 13, 21, 14, 1, 0, 10, 6, 19, 2, 18, 15, 9, 3, 7, 16, 4, 23, 20, 12, 22, 8, 17, 5]",5730573,"[4, 21, 19, 14, 2, 16, 7, 13, 18, 17, 20, 1, 12, 25, 15, 24, 0, 8, 11, 10, 23, 22, 3, 9, 5, 6]",0.0707,49,10
bur26a.dat,G-2swap,47,5885907,"[6, 25, 10, 7, 9, 2, 5, 8, 20, 12, 15, 11, 19, 16, 3, 14, 17, 0, 13, 1, 21, 4, 22, 24, 18, 23]",5749432,"[22, 1, 7, 10, 9, 4, 5, 8, 21, 17, 18, 11, 19, 25, 16, 3, 2, 20, 13, 12, 23, 24, 6, 15, 14, 0]",0.0528,38,10
bur26a.dat,G-2swap,48,5818983,"[20, 25, 2, 10, 0, 5, 21, 8, 6, 16, 7, 19, 1, 17, 18, 9, 22, 11, 4, 15, 3, 14, 13, 23, 12, 24]",5686133,"[0, 5, 18, 15, 12, 3, 17, 19, 16, 13, 7, 4, 11, 2, 10, 20, 23, 1, 8, 21, 24, 25, 9, 14, 6, 22]",0.0503,38,10
bur26a.dat,G-2swap,49,5791006,"[1, 9, 14, 6, 23, 12, 0, 7, 17, 19, 20, 21, 4, 10, 5, 16, 11, 13, 22, 24, 15, 25, 18, 2, 8, 3]",5693156,"[1, 10, 17, 24, 25, 6, 5, 8, 14, 2, 3, 16, 22, 21, 23, 20, 12, 4, 0, 11, 19, 13, 18, 7, 9, 15]",0.0594,45,10
bur26a.dat,G-2swap,50,5741774,"[13, 1, 5, 25, 12, 14, 9, 15, 10, 2, 7, 19, 18, 22, 16, 21, 8, 23, 4, 11, 24, 6, 20, 3, 17, 0]",5712556,"[14, 0, 6, 19, 1, 24, 4, 7, 5, 3, 20, 25, 8, 11, 9, 10, 18, 17, 13, 22, 2, 15, 12, 16, 21, 23]",0.052,39,10
